"Time (s)"	"Illuminance (lx)"
0.000000000E0	3.203000000E3
2.046436610E-1	3.175000000E3
4.046559840E-1	3.143000000E3
6.046377670E-1	3.151000000E3
8.046805310E-1	3.156000000E3
1.204643676E0	3.151000000E3
1.404656219E0	3.157000000E3
1.604668233E0	3.154000000E3
1.804649839E0	3.153000000E3
2.204643666E0	3.150000000E3
2.404655968E0	3.153000000E3
2.604668282E0	3.157000000E3
2.804649814E0	3.155000000E3
3.004662324E0	3.158000000E3
3.404655897E0	3.156000000E3
3.604667897E0	3.153000000E3
3.804649743E0	3.148000000E3
4.004662339E0	3.153000000E3
4.204643566E0	3.156000000E3
4.404655898E0	3.150000000E3
4.604668133E0	3.153000000E3
4.804649758E0	3.143000000E3
5.004662292E0	3.155000000E3
5.204643835E0	3.153000000E3
5.404508744E0	3.148000000E3
5.604637411E0	3.153000000E3
5.804680180E0	3.146000000E3
6.004662027E0	3.150000000E3
6.204643469E0	3.153000000E3
6.604668084E0	3.149000000E3
6.804649677E0	3.151000000E3
7.004662027E0	3.148000000E3
7.204643508E0	3.152000000E3
7.604637422E0	3.155000000E3
7.804680422E0	3.154000000E3
8.004662052E0	3.148000000E3
8.204643514E0	3.157000000E3
8.404655817E0	3.148000000E3
8.604667874E0	3.146000000E3
8.804649724E0	3.152000000E3
9.004662267E0	3.147000000E3
9.204674012E0	3.150000000E3
9.404655796E0	3.148000000E3
9.604667883E0	3.146000000E3
9.804649743E0	3.151000000E3
1.000466206E1	3.154000000E3
1.020464353E1	3.149000000E3
1.040465582E1	3.150000000E3
1.060463742E1	3.148000000E3
1.080468023E1	3.146000000E3
1.100466233E1	3.161000000E3
1.120467409E1	3.147000000E3
