"Time (s)"	"Illuminance (lx)"
3.954893200E-2	6.490000000E2
8.154893200E-2	6.510000000E2
1.215489320E-1	6.520000000E2
1.615489320E-1	6.490000000E2
2.015489320E-1	6.520000000E2
3.215489320E-1	6.500000000E2
3.615489320E-1	6.520000000E2
4.415489320E-1	6.500000000E2
4.815489320E-1	6.480000000E2
5.215489320E-1	6.510000000E2
5.615489320E-1	6.520000000E2
6.015489320E-1	6.490000000E2
6.415489320E-1	6.510000000E2
7.215489320E-1	6.520000000E2
7.615489320E-1	6.510000000E2
8.015489320E-1	6.490000000E2
8.415489320E-1	6.510000000E2
8.815489320E-1	6.490000000E2
9.215489320E-1	6.500000000E2
9.615499320E-1	6.510000000E2
1.001548932E0	6.520000000E2
1.081548932E0	6.510000000E2
1.161548932E0	6.520000000E2
1.201548932E0	6.490000000E2
1.241548932E0	6.500000000E2
1.281548932E0	6.520000000E2
1.321548932E0	6.510000000E2
1.361548932E0	6.520000000E2
1.401548932E0	6.490000000E2
1.441548932E0	6.520000000E2
1.521548932E0	6.510000000E2
1.561548932E0	6.490000000E2
1.641548932E0	6.510000000E2
1.681548932E0	6.500000000E2
1.721548932E0	6.490000000E2
1.761548932E0	6.510000000E2
1.801548932E0	6.520000000E2
1.841548932E0	6.480000000E2
1.881548932E0	6.510000000E2
1.921548932E0	6.520000000E2
1.961549932E0	6.490000000E2
2.001548932E0	6.520000000E2
2.081548932E0	6.510000000E2
2.121548932E0	6.500000000E2
2.161548932E0	6.480000000E2
2.201548932E0	6.470000000E2
2.241548932E0	6.520000000E2
2.281548932E0	6.500000000E2
2.321548932E0	6.510000000E2
2.401548932E0	6.490000000E2
2.441548932E0	6.500000000E2
2.481548932E0	6.510000000E2
2.601548932E0	6.500000000E2
2.641548932E0	6.510000000E2
2.678422191E0	6.520000000E2
2.718422191E0	6.490000000E2
2.758422191E0	6.510000000E2
2.878422191E0	6.480000000E2
2.918422191E0	6.490000000E2
2.958423191E0	6.510000000E2
2.998422191E0	6.500000000E2
3.118422191E0	6.500000000E2
3.158422191E0	6.520000000E2
3.198422191E0	6.510000000E2
3.238422191E0	6.500000000E2
3.278422191E0	6.480000000E2
3.318422191E0	6.510000000E2
3.358422191E0	6.500000000E2
3.398422191E0	6.470000000E2
3.438422191E0	6.480000000E2
3.478422191E0	6.510000000E2
3.518422191E0	6.500000000E2
3.558422191E0	6.480000000E2
3.638422191E0	6.490000000E2
3.758422191E0	6.500000000E2
3.798422191E0	6.520000000E2
3.838422191E0	6.510000000E2
3.878422191E0	6.490000000E2
3.918422191E0	6.510000000E2
3.958423191E0	6.500000000E2
4.038422191E0	6.480000000E2
4.078422191E0	6.510000000E2
4.118422191E0	6.500000000E2
4.158422191E0	6.490000000E2
4.238422191E0	6.510000000E2
4.318422191E0	6.500000000E2
4.358422191E0	6.510000000E2
4.398422191E0	6.490000000E2
4.438422191E0	6.500000000E2
4.518422191E0	6.480000000E2
4.558422191E0	6.520000000E2
4.598422191E0	6.500000000E2
4.638422191E0	6.490000000E2
4.678422191E0	6.500000000E2
4.718422191E0	6.490000000E2
4.758422191E0	6.520000000E2
4.798422191E0	6.490000000E2
4.918422191E0	6.500000000E2
4.998422191E0	6.490000000E2
5.038422191E0	6.500000000E2
5.118422191E0	6.490000000E2
5.198422191E0	6.480000000E2
5.238422191E0	6.500000000E2
5.318422191E0	6.520000000E2
5.358422191E0	6.510000000E2
5.398422191E0	6.500000000E2
5.438422191E0	6.490000000E2
5.478422191E0	6.500000000E2
5.518422191E0	6.480000000E2
5.558422191E0	6.510000000E2
5.598422191E0	6.490000000E2
5.638422191E0	6.500000000E2
5.678422191E0	6.490000000E2
5.758422191E0	6.510000000E2
5.878422191E0	6.530000000E2
5.918422191E0	6.520000000E2
5.958423191E0	6.510000000E2
6.038422191E0	6.500000000E2
6.078422191E0	6.480000000E2
6.198422191E0	6.500000000E2
6.238422191E0	6.520000000E2
6.278422191E0	6.490000000E2
6.318422191E0	6.510000000E2
6.358422191E0	6.520000000E2
6.398422191E0	6.510000000E2
6.478422191E0	6.520000000E2
6.518422191E0	6.470000000E2
6.558422191E0	6.520000000E2
6.598422191E0	6.480000000E2
6.638422191E0	6.510000000E2
6.678422191E0	6.500000000E2
6.718422191E0	6.460000000E2
6.758422191E0	6.520000000E2
6.798422191E0	6.500000000E2
6.878422191E0	6.510000000E2
6.918422191E0	6.470000000E2
6.958423191E0	6.490000000E2
6.998422191E0	6.470000000E2
7.038422191E0	6.520000000E2
7.078422191E0	6.510000000E2
7.118422191E0	6.490000000E2
7.158422191E0	6.520000000E2
7.198422191E0	6.500000000E2
7.238422191E0	6.510000000E2
7.318422191E0	6.520000000E2
7.358422191E0	6.490000000E2
7.398422191E0	6.510000000E2
7.438422191E0	6.490000000E2
7.478422191E0	6.520000000E2
