 ,Mean(ROI),StdDev(ROI),Mean(pix1),StdDev(pix1),X(pix1),Y(pix1),Mean(pix2),StdDev(pix2),X(pix2),Y(pix2),Mean(pix3),StdDev(pix3),X(pix3),Y(pix3),X(ROI),Y(ROI)
1,223.003,11.743,235,0,2508,669,229,0,2736,699,229,0,2634,834,0,0
2,221.215,11.909,219,0,2508,669,237,0,2736,699,222,0,2634,834,0,0
3,216.918,11.568,233,0,2508,669,219,0,2736,699,222,0,2634,834,0,0
4,206.746,12.725,215,0,2508,669,214,0,2736,699,212,0,2634,834,0,0
5,188.700,12.439,202,0,2508,669,192,0,2736,699,192,0,2634,834,0,0
6,165.474,12.131,176,0,2508,669,168,0,2736,699,174,0,2634,834,0,0
7,130.962,12.809,146,0,2508,669,135,0,2736,699,142,0,2634,834,0,0
8,83.287,9.637,93,0,2508,669,91,0,2736,699,90,0,2634,834,0,0
9,27.088,3.648,32,0,2508,669,28,0,2736,699,28,0,2634,834,0,0
10,1.241,0.680,1,0,2508,669,1,0,2736,699,1,0,2634,834,0,0
11,11.784,2.494,16,0,2508,669,12,0,2736,699,14,0,2634,834,0,0
12,62.987,8.490,70,0,2508,669,76,0,2736,699,65,0,2634,834,0,0
13,115.592,10.331,128,0,2508,669,128,0,2736,699,115,0,2634,834,0,0
14,156.179,11.816,169,0,2508,669,166,0,2736,699,153,0,2634,834,0,0
15,184.759,11.383,200,0,2508,669,184,0,2736,699,190,0,2634,834,0,0
16,203.368,11.653,213,0,2508,669,213,0,2736,699,213,0,2634,834,0,0
17,215.568,11.286,223,0,2508,669,229,0,2736,699,213,0,2634,834,0,0
18,221.306,11.095,228,0,2508,669,245,0,2736,699,233,0,2634,834,0,0
19,222.745,10.525,227,0,2508,669,246,0,2736,699,234,0,2634,834,0,0
20,222.636,9.972,233,0,2508,669,220,0,2736,699,227,0,2634,834,0,0
21,217.109,10.916,230,0,2508,669,223,0,2736,699,221,0,2634,834,0,0
22,204.552,11.195,213,0,2508,669,205,0,2736,699,219,0,2634,834,0,0
23,189.516,12.031,202,0,2508,669,191,0,2736,699,195,0,2634,834,0,0
24,166.986,11.817,169,0,2508,669,169,0,2736,699,174,0,2634,834,0,0
25,131.435,11.508,143,0,2508,669,137,0,2736,699,139,0,2634,834,0,0
26,76.617,8.993,83,0,2508,669,83,0,2736,699,88,0,2634,834,0,0
27,22.054,3.383,28,0,2508,669,26,0,2736,699,22,0,2634,834,0,0
28,1.040,0.625,0,0,2508,669,2,0,2736,699,2,0,2634,834,0,0
29,15.141,2.572,16,0,2508,669,16,0,2736,699,16,0,2634,834,0,0
30,65.330,8.115,70,0,2508,669,72,0,2736,699,67,0,2634,834,0,0
31,115.231,11.289,126,0,2508,669,125,0,2736,699,105,0,2634,834,0,0
32,157.384,11.681,166,0,2508,669,172,0,2736,699,158,0,2634,834,0,0
33,186.214,11.685,201,0,2508,669,190,0,2736,699,188,0,2634,834,0,0
34,203.539,11.249,210,0,2508,669,210,0,2736,699,201,0,2634,834,0,0
35,216.229,10.230,224,0,2508,669,234,0,2736,699,218,0,2634,834,0,0
36,221.757,10.537,224,0,2508,669,243,0,2736,699,224,0,2634,834,0,0
37,223.286,11.017,234,0,2508,669,226,0,2736,699,235,0,2634,834,0,0
