 ,Mean(ROI),StdDev(ROI),Mean(pix1),StdDev(pix1),X(pix1),Y(pix1),Mean(pix2),StdDev(pix2),X(pix2),Y(pix2),Mean(pix3),StdDev(pix3),X(pix3),Y(pix3),X(ROI),Y(ROI)
1,203.653,7.612,211,0,2508,669,205,0,2736,699,208,0,2634,834,0,0
2,201.808,7.906,197,0,2508,669,213,0,2736,699,201,0,2634,834,0,0
3,198.096,8.288,209,0,2508,669,197,0,2736,699,201,0,2634,834,0,0
4,185.965,8.403,189,0,2508,669,188,0,2736,699,190,0,2634,834,0,0
5,167.805,8.070,176,0,2508,669,166,0,2736,699,170,0,2634,834,0,0
6,144.344,7.916,150,0,2508,669,142,0,2736,699,152,0,2634,834,0,0
7,107.907,7.441,118,0,2508,669,107,0,2736,699,118,0,2634,834,0,0
8,63.585,5.669,69,0,2508,669,67,0,2736,699,69,0,2634,834,0,0
9,21.874,2.422,25,0,2508,669,21,0,2736,699,23,0,2634,834,0,0
10,1.241,0.680,1,0,2508,669,1,0,2736,699,1,0,2634,834,0,0
11,7.469,1.839,11,0,2508,669,7,0,2736,699,9,0,2634,834,0,0
12,47.415,3.958,49,0,2508,669,57,0,2736,699,48,0,2634,834,0,0
13,95.668,6.069,104,0,2508,669,102,0,2736,699,93,0,2634,834,0,0
14,134.769,7.475,143,0,2508,669,142,0,2736,699,131,0,2634,834,0,0
15,164.069,7.448,176,0,2508,669,158,0,2736,699,170,0,2634,834,0,0
16,180.534,8.080,185,0,2508,669,185,0,2736,699,189,0,2634,834,0,0
17,192.663,8.314,197,0,2508,669,201,0,2736,699,189,0,2634,834,0,0
18,200.275,8.306,204,0,2508,669,219,0,2736,699,211,0,2634,834,0,0
19,203.055,7.788,205,0,2508,669,222,0,2736,699,213,0,2634,834,0,0
20,202.024,7.225,209,0,2508,669,196,0,2736,699,206,0,2634,834,0,0
21,196.239,7.705,206,0,2508,669,197,0,2736,699,199,0,2634,834,0,0
22,184.442,7.549,189,0,2508,669,179,0,2736,699,197,0,2634,834,0,0
23,167.502,7.835,174,0,2508,669,163,0,2736,699,173,0,2634,834,0,0
24,143.996,7.625,141,0,2508,669,141,0,2736,699,148,0,2634,834,0,0
25,107.770,6.720,113,0,2508,669,107,0,2736,699,115,0,2634,834,0,0
26,57.915,5.217,61,0,2508,669,59,0,2736,699,67,0,2634,834,0,0
27,16.545,2.289,21,0,2508,669,19,0,2736,699,17,0,2634,834,0,0
28,1.040,0.625,0,0,2508,669,2,0,2736,699,2,0,2634,834,0,0
29,10.611,2.055,11,0,2508,669,11,0,2736,699,12,0,2634,834,0,0
30,48.357,4.473,49,0,2508,669,50,0,2736,699,48,0,2634,834,0,0
31,94.619,6.618,100,0,2508,669,99,0,2736,699,84,0,2634,834,0,0
32,134.595,7.706,140,0,2508,669,144,0,2736,699,134,0,2634,834,0,0
33,164.213,7.361,175,0,2508,669,162,0,2736,699,166,0,2634,834,0,0
34,180.859,7.804,184,0,2508,669,184,0,2736,699,177,0,2634,834,0,0
35,193.604,7.966,198,0,2508,669,208,0,2736,699,196,0,2634,834,0,0
36,200.506,7.933,200,0,2508,669,217,0,2736,699,202,0,2634,834,0,0
37,203.134,8.155,210,0,2508,669,202,0,2736,699,214,0,2634,834,0,0
