"Time (s)"	"Illuminance (lx)"
2.691397800E-2	5.290000000E2
4.891397800E-2	5.300000000E2
8.891397800E-2	5.230000000E2
1.289139780E-1	5.280000000E2
1.689139780E-1	5.300000000E2
2.089139780E-1	5.260000000E2
2.489139780E-1	5.230000000E2
2.889139780E-1	5.310000000E2
3.289139780E-1	5.270000000E2
3.689139780E-1	5.250000000E2
4.089139780E-1	5.290000000E2
4.889139780E-1	5.260000000E2
5.289139780E-1	5.280000000E2
5.689139780E-1	5.290000000E2
6.489139780E-1	5.280000000E2
7.689139780E-1	5.240000000E2
8.089139780E-1	5.290000000E2
8.489139780E-1	5.300000000E2
8.889139780E-1	5.280000000E2
9.689139780E-1	5.310000000E2
1.008914978E0	5.300000000E2
1.048913978E0	5.260000000E2
1.088913978E0	5.300000000E2
1.128913978E0	5.310000000E2
1.168913978E0	5.270000000E2
1.208913978E0	5.300000000E2
1.248913978E0	5.290000000E2
1.288913978E0	5.260000000E2
1.328913978E0	5.290000000E2
1.368913978E0	5.320000000E2
1.408913978E0	5.290000000E2
1.488913978E0	5.300000000E2
1.528913978E0	5.290000000E2
1.568913978E0	5.240000000E2
1.608913978E0	5.270000000E2
1.648913978E0	5.290000000E2
1.688913978E0	5.300000000E2
1.728913978E0	5.290000000E2
1.848913978E0	5.290000000E2
1.888913978E0	5.300000000E2
1.928913978E0	5.310000000E2
1.968913978E0	5.290000000E2
2.008914978E0	5.270000000E2
2.048913978E0	5.290000000E2
2.088913978E0	5.320000000E2
2.128913978E0	5.300000000E2
2.168913978E0	5.280000000E2
2.208913978E0	5.290000000E2
2.248913978E0	5.300000000E2
2.288913978E0	5.280000000E2
2.328913978E0	5.270000000E2
2.368913978E0	5.290000000E2
2.408913978E0	5.280000000E2
2.448913978E0	5.260000000E2
2.488913978E0	5.280000000E2
2.528913978E0	5.290000000E2
2.568913978E0	5.270000000E2
2.608913978E0	5.300000000E2
2.648913978E0	5.310000000E2
2.688913978E0	5.270000000E2
2.728913978E0	5.280000000E2
2.768927383E0	5.290000000E2
2.808927383E0	5.300000000E2
2.848927383E0	5.280000000E2
2.888927383E0	5.300000000E2
2.968927383E0	5.260000000E2
3.008927383E0	5.270000000E2
3.048927383E0	5.310000000E2
3.088927383E0	5.300000000E2
3.128927383E0	5.270000000E2
3.168927383E0	5.290000000E2
3.248927383E0	5.280000000E2
3.288927383E0	5.290000000E2
3.408927383E0	5.260000000E2
3.448927383E0	5.290000000E2
3.488927383E0	5.310000000E2
3.528927383E0	5.260000000E2
3.608927383E0	5.300000000E2
3.688927383E0	5.290000000E2
3.728927383E0	5.300000000E2
3.768927383E0	5.290000000E2
3.808927383E0	5.280000000E2
3.848927383E0	5.290000000E2
3.888927383E0	5.320000000E2
3.928927383E0	5.290000000E2
4.048927383E0	5.270000000E2
4.088927383E0	5.280000000E2
4.128927383E0	5.290000000E2
4.168927383E0	5.300000000E2
4.208927383E0	5.270000000E2
4.248927383E0	5.290000000E2
4.288927383E0	5.280000000E2
4.368927383E0	5.260000000E2
4.408927383E0	5.290000000E2
4.488927383E0	5.280000000E2
4.528927383E0	5.290000000E2
4.568927383E0	5.300000000E2
