 ,Mean(pix1),X(pix1),Y(pix1),Mean(pix2),X(pix2),Y(pix2),Mean(pix3),X(pix3),Y(pix3),Mean(pix4),X(pix4),Y(pix4),Mean(pix5),X(pix5),Y(pix5),Mean(pix6),X(pix6),Y(pix6),Mean(pix7),X(pix7),Y(pix7),Mean(pix8),X(pix8),Y(pix8),Mean(pix9),X(pix9),Y(pix9)
1,203,1071,825,178,1347,828,64,1602,828,117,1062,1026,185,1338,1044,41,1596,1065,79,1065,1224,126,1338,1263,74,1592.500,1271.500
2,214,1071,825,136,1347,828,87,1602,828,116,1062,1026,161,1338,1044,68,1596,1065,58,1065,1224,124,1338,1263,31,1592.500,1271.500
3,150,1071,825,142,1347,828,87,1602,828,132,1062,1026,163,1338,1044,28,1596,1065,86,1065,1224,130,1338,1263,37,1592.500,1271.500
4,163,1071,825,134,1347,828,92,1602,828,154,1062,1026,173,1338,1044,39,1596,1065,81,1065,1224,138,1338,1263,51,1592.500,1271.500
5,217,1071,825,95,1347,828,101,1602,828,168,1062,1026,152,1338,1044,51,1596,1065,89,1065,1224,94,1338,1263,41,1592.500,1271.500
6,176,1071,825,99,1347,828,95,1602,828,176,1062,1026,126,1338,1044,91,1596,1065,103,1065,1224,108,1338,1263,40,1592.500,1271.500
7,118,1071,825,80,1347,828,112,1602,828,165,1062,1026,129,1338,1044,101,1596,1065,134,1065,1224,105,1338,1263,43,1592.500,1271.500
8,145,1071,825,54,1347,828,134,1602,828,181,1062,1026,90,1338,1044,127,1596,1065,122,1065,1224,91,1338,1263,57,1592.500,1271.500
9,116,1071,825,93,1347,828,116,1602,828,180,1062,1026,83,1338,1044,130,1596,1065,143,1065,1224,68,1338,1263,76,1592.500,1271.500
10,71,1071,825,123,1347,828,106,1602,828,161,1062,1026,61,1338,1044,126,1596,1065,134,1065,1224,41,1338,1263,83,1592.500,1271.500
11,46,1071,825,129,1347,828,101,1602,828,164,1062,1026,84,1338,1044,125,1596,1065,149,1065,1224,33,1338,1263,98,1592.500,1271.500
12,19,1071,825,153,1347,828,108,1602,828,144,1062,1026,95,1338,1044,112,1596,1065,154,1065,1224,32,1338,1263,107,1592.500,1271.500
13,56,1071,825,168,1347,828,97,1602,828,134,1062,1026,113,1338,1044,103,1596,1065,144,1065,1224,38,1338,1263,115,1592.500,1271.500
14,75,1071,825,168,1347,828,95,1602,828,125,1062,1026,132,1338,1044,88,1596,1065,136,1065,1224,45,1338,1263,121,1592.500,1271.500
15,92,1071,825,180,1347,828,97,1602,828,101,1062,1026,151,1338,1044,85,1596,1065,130,1065,1224,65,1338,1263,110,1592.500,1271.500
16,140,1071,825,176,1347,828,95,1602,828,91,1062,1026,158,1338,1044,84,1596,1065,110,1065,1224,85,1338,1263,113,1592.500,1271.500
17,136,1071,825,162,1347,828,82,1602,828,88,1062,1026,164,1338,1044,48,1596,1065,96,1065,1224,95,1338,1263,94,1592.500,1271.500
18,152,1071,825,151,1347,828,78,1602,828,89,1062,1026,165,1338,1044,44,1596,1065,79,1065,1224,108,1338,1263,82,1592.500,1271.500
19,208,1071,825,156,1347,828,86,1602,828,99,1062,1026,185,1338,1044,33,1596,1065,67,1065,1224,114,1338,1263,71,1592.500,1271.500
20,190,1071,825,135,1347,828,93,1602,828,111,1062,1026,168,1338,1044,64,1596,1065,60,1065,1224,132,1338,1263,40,1592.500,1271.500
21,203,1071,825,154,1347,828,84,1602,828,141,1062,1026,167,1338,1044,56,1596,1065,59,1065,1224,132,1338,1263,53,1592.500,1271.500
22,209,1071,825,128,1347,828,88,1602,828,154,1062,1026,165,1338,1044,60,1596,1065,72,1065,1224,118,1338,1263,45,1592.500,1271.500
23,163,1071,825,114,1347,828,92,1602,828,165,1062,1026,154,1338,1044,59,1596,1065,93,1065,1224,109,1338,1263,36,1592.500,1271.500
24,107,1071,825,35,1347,828,112,1602,828,157,1062,1026,122,1338,1044,73,1596,1065,119,1065,1224,96,1338,1263,14,1592.500,1271.500
25,162,1071,825,97,1347,828,105,1602,828,194,1062,1026,120,1338,1044,113,1596,1065,116,1065,1224,110,1338,1263,57,1592.500,1271.500
26,163,1071,825,85,1347,828,117,1602,828,188,1062,1026,111,1338,1044,122,1596,1065,126,1065,1224,80,1338,1263,68,1592.500,1271.500
27,99,1071,825,104,1347,828,105,1602,828,187,1062,1026,81,1338,1044,132,1596,1065,148,1065,1224,60,1338,1263,81,1592.500,1271.500
28,19,1071,825,85,1347,828,110,1602,828,158,1062,1026,33,1338,1044,116,1596,1065,143,1065,1224,33,1338,1263,81,1592.500,1271.500
29,76,1071,825,144,1347,828,106,1602,828,166,1062,1026,74,1338,1044,130,1596,1065,134,1065,1224,40,1338,1263,101,1592.500,1271.500
30,81,1071,825,161,1347,828,99,1602,828,154,1062,1026,97,1338,1044,135,1596,1065,135,1065,1224,33,1338,1263,115,1592.500,1271.500
31,70,1071,825,154,1347,828,106,1602,828,142,1062,1026,101,1338,1044,103,1596,1065,130,1065,1224,40,1338,1263,111,1592.500,1271.500
32,100,1071,825,174,1347,828,97,1602,828,110,1062,1026,134,1338,1044,110,1596,1065,124,1065,1224,51,1338,1263,110,1592.500,1271.500
33,87,1071,825,170,1347,828,92,1602,828,103,1062,1026,149,1338,1044,95,1596,1065,119,1065,1224,67,1338,1263,109,1592.500,1271.500
34,110,1071,825,176,1347,828,95,1602,828,93,1062,1026,160,1338,1044,82,1596,1065,116,1065,1224,91,1338,1263,103,1592.500,1271.500
35,151,1071,825,142,1347,828,94,1602,828,84,1062,1026,164,1338,1044,94,1596,1065,93,1065,1224,98,1338,1263,85,1592.500,1271.500
36,124,1071,825,157,1347,828,74,1602,828,99,1062,1026,165,1338,1044,10,1596,1065,107,1065,1224,116,1338,1263,57,1592.500,1271.500
37,162,1071,825,149,1347,828,71,1602,828,112,1062,1026,154,1338,1044,18,1596,1065,67,1065,1224,131,1338,1263,71,1592.500,1271.500
