 ,Mean(pix1),X(pix1),Y(pix1),Mean(pix2),X(pix2),Y(pix2),Mean(pix3),X(pix3),Y(pix3),Mean(pix4),X(pix4),Y(pix4),Mean(pix5),X(pix5),Y(pix5),Mean(pix6),X(pix6),Y(pix6),Mean(pix7),X(pix7),Y(pix7),Mean(pix8),X(pix8),Y(pix8),Mean(pix9),X(pix9),Y(pix9)
1,140,1071,825,163,1347,828,98,1602,828,114,1062,1026,132,1338,1044,105,1596,1065,102,1065,1224,76,1338,1263,110,1592.500,1271.500
2,149,1071,825,132,1347,828,110,1602,828,95,1062,1026,118,1338,1044,126,1596,1065,70,1065,1224,76,1338,1263,69,1592.500,1271.500
3,96,1071,825,162,1347,828,94,1602,828,89,1062,1026,138,1338,1044,78,1596,1065,84,1065,1224,90,1338,1263,87,1592.500,1271.500
4,118,1071,825,172,1347,828,89,1602,828,101,1062,1026,161,1338,1044,76,1596,1065,64,1065,1224,108,1338,1263,102,1592.500,1271.500
5,188,1071,825,151,1347,828,92,1602,828,115,1062,1026,160,1338,1044,69,1596,1065,62,1065,1224,81,1338,1263,96,1592.500,1271.500
6,159,1071,825,164,1347,828,73,1602,828,124,1062,1026,147,1338,1044,92,1596,1065,66,1065,1224,108,1338,1263,86,1592.500,1271.500
7,116,1071,825,146,1347,828,82,1602,828,118,1062,1026,165,1338,1044,79,1596,1065,92,1065,1224,118,1338,1263,73,1592.500,1271.500
8,156,1071,825,109,1347,828,96,1602,828,141,1062,1026,135,1338,1044,86,1596,1065,82,1065,1224,115,1338,1263,67,1592.500,1271.500
9,155,1071,825,128,1347,828,85,1602,828,160,1062,1026,143,1338,1044,80,1596,1065,112,1065,1224,110,1338,1263,67,1592.500,1271.500
10,131,1071,825,131,1347,828,86,1602,828,160,1062,1026,124,1338,1044,74,1596,1065,116,1065,1224,101,1338,1263,56,1592.500,1271.500
11,103,1071,825,106,1347,828,84,1602,828,168,1062,1026,125,1338,1044,77,1596,1065,135,1065,1224,87,1338,1263,60,1592.500,1271.500
12,73,1071,825,100,1347,828,107,1602,828,162,1062,1026,113,1338,1044,75,1596,1065,151,1065,1224,81,1338,1263,62,1592.500,1271.500
13,95,1071,825,98,1347,828,110,1602,828,163,1062,1026,106,1338,1044,80,1596,1065,149,1065,1224,71,1338,1263,73,1592.500,1271.500
14,90,1071,825,89,1347,828,116,1602,828,158,1062,1026,101,1338,1044,80,1596,1065,147,1065,1224,60,1338,1263,85,1592.500,1271.500
15,87,1071,825,101,1347,828,127,1602,828,138,1062,1026,100,1338,1044,96,1596,1065,148,1065,1224,61,1338,1263,87,1592.500,1271.500
16,107,1071,825,105,1347,828,126,1602,828,125,1062,1026,96,1338,1044,111,1596,1065,130,1065,1224,58,1338,1263,101,1592.500,1271.500
17,84,1071,825,106,1347,828,119,1602,828,116,1062,1026,99,1338,1044,95,1596,1065,123,1065,1224,55,1338,1263,100,1592.500,1271.500
18,91,1071,825,121,1347,828,120,1602,828,108,1062,1026,108,1338,1044,111,1596,1065,111,1065,1224,62,1338,1263,111,1592.500,1271.500
19,145,1071,825,142,1347,828,120,1602,828,98,1062,1026,134,1338,1044,103,1596,1065,92,1065,1224,67,1338,1263,108,1592.500,1271.500
20,127,1071,825,138,1347,828,120,1602,828,90,1062,1026,127,1338,1044,128,1596,1065,74,1065,1224,86,1338,1263,84,1592.500,1271.500
21,149,1071,825,176,1347,828,94,1602,828,101,1062,1026,141,1338,1044,108,1596,1065,60,1065,1224,92,1338,1263,104,1592.500,1271.500
22,166,1071,825,167,1347,828,89,1602,828,104,1062,1026,156,1338,1044,101,1596,1065,57,1065,1224,90,1338,1263,98,1592.500,1271.500
23,133,1071,825,172,1347,828,82,1602,828,113,1062,1026,160,1338,1044,83,1596,1065,65,1065,1224,96,1338,1263,90,1592.500,1271.500
24,97,1071,825,105,1347,828,90,1602,828,107,1062,1026,151,1338,1044,68,1596,1065,81,1065,1224,102,1338,1263,59,1592.500,1271.500
25,158,1071,825,158,1347,828,70,1602,828,145,1062,1026,152,1338,1044,88,1596,1065,73,1065,1224,121,1338,1263,87,1592.500,1271.500
26,178,1071,825,137,1347,828,82,1602,828,150,1062,1026,154,1338,1044,81,1596,1065,85,1065,1224,106,1338,1263,79,1592.500,1271.500
27,142,1071,825,140,1347,828,78,1602,828,169,1062,1026,142,1338,1044,83,1596,1065,118,1065,1224,106,1338,1263,72,1592.500,1271.500
