 ,Mean(pix1),X(pix1),Y(pix1),Mean(pix2),X(pix2),Y(pix2),Mean(pix3),X(pix3),Y(pix3),Mean(pix4),X(pix4),Y(pix4),Mean(pix5),X(pix5),Y(pix5),Mean(pix6),X(pix6),Y(pix6),Mean(pix7),X(pix7),Y(pix7),Mean(pix8),X(pix8),Y(pix8),Mean(pix9),X(pix9),Y(pix9)
1,90,1071,825,97,1347,828,121,1602,828,114,1062,1026,45,1338,1044,123,1596,1065,102,1065,1224,9,1338,1263,99,1592.500,1271.500
2,83,1071,825,81,1347,828,129,1602,828,81,1062,1026,39,1338,1044,148,1596,1065,66,1065,1224,7,1338,1263,64,1592.500,1271.500
3,23,1071,825,134,1347,828,104,1602,828,47,1062,1026,75,1338,1044,101,1596,1065,71,1065,1224,19,1338,1263,94,1592.500,1271.500
4,42,1071,825,167,1347,828,90,1602,828,38,1062,1026,109,1338,1044,98,1596,1065,41,1065,1224,44,1338,1263,115,1592.500,1271.500
5,118,1071,825,158,1347,828,83,1602,828,37,1062,1026,127,1338,1044,81,1596,1065,27,1065,1224,31,1338,1263,118,1592.500,1271.500
6,97,1071,825,182,1347,828,40,1602,828,38,1062,1026,127,1338,1044,94,1596,1065,17,1065,1224,69,1338,1263,109,1592.500,1271.500
7,64,1071,825,174,1347,828,24,1602,828,31,1062,1026,156,1338,1044,65,1596,1065,31,1065,1224,91,1338,1263,90,1592.500,1271.500
8,119,1071,825,135,1347,828,16,1602,828,57,1062,1026,138,1338,1044,52,1596,1065,17,1065,1224,98,1338,1263,75,1592.500,1271.500
9,140,1071,825,150,1347,828,2,1602,828,96,1062,1026,159,1338,1044,26,1596,1065,50,1065,1224,110,1338,1263,63,1592.500,1271.500
10,136,1071,825,143,1347,828,4,1602,828,117,1062,1026,149,1338,1044,2,1596,1065,64,1065,1224,117,1338,1263,38,1592.500,1271.500
11,108,1071,825,101,1347,828,5,1602,828,132,1062,1026,142,1338,1044,0,1596,1065,87,1065,1224,103,1338,1263,24,1592.500,1271.500
12,85,1071,825,67,1347,828,47,1602,828,144,1062,1026,124,1338,1044,0,1596,1065,117,1065,1224,101,1338,1263,8,1592.500,1271.500
13,110,1071,825,40,1347,828,74,1602,828,158,1062,1026,105,1338,1044,9,1596,1065,123,1065,1224,89,1338,1263,10,1592.500,1271.500
14,101,1071,825,4,1347,828,94,1602,828,163,1062,1026,84,1338,1044,24,1596,1065,128,1065,1224,68,1338,1263,18,1592.500,1271.500
15,91,1071,825,3,1347,828,118,1602,828,151,1062,1026,60,1338,1044,58,1596,1065,135,1065,1224,57,1338,1263,27,1592.500,1271.500
16,101,1071,825,1,1347,828,127,1602,828,141,1062,1026,35,1338,1044,87,1596,1065,120,1065,1224,36,1338,1263,47,1592.500,1271.500
17,62,1071,825,0,1347,828,129,1602,828,133,1062,1026,22,1338,1044,91,1596,1065,120,1065,1224,18,1338,1263,60,1592.500,1271.500
