 ,Mean(pix1),X(pix1),Y(pix1),Mean(pix2),X(pix2),Y(pix2),Mean(pix3),X(pix3),Y(pix3),Mean(pix4),X(pix4),Y(pix4),Mean(pix5),X(pix5),Y(pix5),Mean(pix6),X(pix6),Y(pix6),Mean(pix7),X(pix7),Y(pix7),Mean(pix8),X(pix8),Y(pix8),Mean(pix9),X(pix9),Y(pix9)
1,128,1071,825,213,1347,828,110,1602,828,112,1062,1026,166,1338,1044,151,1596,1065,125,1065,1224,92,1338,1263,158,1592.500,1271.500
2,151,1071,825,180,1347,828,113,1602,828,88,1062,1026,154,1338,1044,163,1596,1065,86,1065,1224,97,1338,1263,113,1592.500,1271.500
3,116,1071,825,209,1347,828,90,1602,828,88,1062,1026,177,1338,1044,105,1596,1065,94,1065,1224,120,1338,1263,129,1592.500,1271.500
4,150,1071,825,216,1347,828,85,1602,828,111,1062,1026,202,1338,1044,91,1596,1065,69,1065,1224,143,1338,1263,139,1592.500,1271.500
5,228,1071,825,199,1347,828,92,1602,828,141,1062,1026,201,1338,1044,75,1596,1065,70,1065,1224,119,1338,1263,128,1592.500,1271.500
6,204,1071,825,210,1347,828,84,1602,828,159,1062,1026,189,1338,1044,90,1596,1065,77,1065,1224,147,1338,1263,110,1592.500,1271.500
7,166,1071,825,185,1347,828,109,1602,828,158,1062,1026,209,1338,1044,72,1596,1065,111,1065,1224,158,1338,1263,85,1592.500,1271.500
8,204,1071,825,137,1347,828,139,1602,828,186,1062,1026,178,1338,1044,80,1596,1065,106,1065,1224,157,1338,1263,69,1592.500,1271.500
9,209,1071,825,142,1347,828,138,1602,828,204,1062,1026,186,1338,1044,84,1596,1065,144,1065,1224,152,1338,1263,62,1592.500,1271.500
10,186,1071,825,128,1347,828,149,1602,828,202,1062,1026,161,1338,1044,95,1596,1065,151,1065,1224,144,1338,1263,48,1592.500,1271.500
11,156,1071,825,89,1347,828,147,1602,828,207,1062,1026,148,1338,1044,105,1596,1065,168,1065,1224,124,1338,1263,57,1592.500,1271.500
12,115,1071,825,79,1347,828,166,1602,828,199,1062,1026,120,1338,1044,114,1596,1065,181,1065,1224,109,1338,1263,70,1592.500,1271.500
13,119,1071,825,85,1347,828,160,1602,828,197,1062,1026,99,1338,1044,127,1596,1065,179,1065,1224,87,1338,1263,95,1592.500,1271.500
14,94,1071,825,95,1347,828,159,1602,828,187,1062,1026,87,1338,1044,129,1596,1065,176,1065,1224,66,1338,1263,115,1592.500,1271.500
15,77,1071,825,119,1347,828,165,1602,828,163,1062,1026,88,1338,1044,146,1596,1065,179,1065,1224,60,1338,1263,125,1592.500,1271.500
16,81,1071,825,139,1347,828,157,1602,828,144,1062,1026,95,1338,1044,161,1596,1065,160,1065,1224,52,1338,1263,144,1592.500,1271.500
17,53,1071,825,155,1347,828,145,1602,828,128,1062,1026,112,1338,1044,147,1596,1065,153,1065,1224,53,1338,1263,147,1592.500,1271.500
18,64,1071,825,172,1347,828,138,1602,828,111,1062,1026,135,1338,1044,162,1596,1065,138,1065,1224,67,1338,1263,159,1592.500,1271.500
19,134,1071,825,193,1347,828,131,1602,828,95,1062,1026,169,1338,1044,149,1596,1065,116,1065,1224,84,1338,1263,156,1592.500,1271.500
20,131,1071,825,187,1347,828,126,1602,828,83,1062,1026,166,1338,1044,166,1596,1065,91,1065,1224,110,1338,1263,131,1592.500,1271.500
21,169,1071,825,226,1347,828,89,1602,828,99,1062,1026,182,1338,1044,136,1596,1065,70,1065,1224,121,1338,1263,147,1592.500,1271.500
22,194,1071,825,215,1347,828,84,1602,828,112,1062,1026,194,1338,1044,118,1596,1065,63,1065,1224,126,1338,1263,136,1592.500,1271.500
23,171,1071,825,218,1347,828,81,1602,828,136,1062,1026,201,1338,1044,89,1596,1065,70,1065,1224,132,1338,1263,122,1592.500,1271.500
24,144,1071,825,155,1347,828,107,1602,828,146,1062,1026,197,1338,1044,65,1596,1065,96,1065,1224,144,1338,1263,82,1592.500,1271.500
25,205,1071,825,197,1347,828,95,1602,828,185,1062,1026,195,1338,1044,80,1596,1065,89,1065,1224,161,1338,1263,100,1592.500,1271.500
26,227,1071,825,165,1347,828,122,1602,828,195,1062,1026,198,1338,1044,76,1596,1065,111,1065,1224,148,1338,1263,82,1592.500,1271.500
27,195,1071,825,153,1347,828,129,1602,828,211,1062,1026,186,1338,1044,88,1596,1065,149,1065,1224,149,1338,1263,66,1592.500,1271.500
28,131,1071,825,91,1347,828,154,1602,828,200,1062,1026,135,1338,1044,86,1596,1065,160,1065,1224,136,1338,1263,47,1592.500,1271.500
29,188,1071,825,105,1347,828,152,1602,828,209,1062,1026,142,1338,1044,110,1596,1065,153,1065,1224,129,1338,1263,58,1592.500,1271.500
30,176,1071,825,90,1347,828,154,1602,828,204,1062,1026,131,1338,1044,129,1596,1065,163,1065,1224,110,1338,1263,76,1592.500,1271.500
31,141,1071,825,69,1347,828,167,1602,828,204,1062,1026,95,1338,1044,124,1596,1065,167,1065,1224,95,1338,1263,89,1592.500,1271.500
32,134,1071,825,103,1347,828,172,1602,828,178,1062,1026,90,1338,1044,157,1596,1065,170,1065,1224,67,1338,1263,109,1592.500,1271.500
33,74,1071,825,113,1347,828,164,1602,828,164,1062,1026,89,1338,1044,157,1596,1065,167,1065,1224,51,1338,1263,128,1592.500,1271.500
34,55,1071,825,144,1347,828,162,1602,828,142,1062,1026,99,1338,1044,159,1596,1065,164,1065,1224,52,1338,1263,138,1592.500,1271.500
35,76,1071,825,138,1347,828,163,1602,828,129,1062,1026,117,1338,1044,193,1596,1065,150,1065,1224,55,1338,1263,141,1592.500,1271.500
36,39,1071,825,179,1347,828,130,1602,828,111,1062,1026,141,1338,1044,123,1596,1065,159,1065,1224,78,1338,1263,136,1592.500,1271.500
37,89,1071,825,190,1347,828,113,1602,828,98,1062,1026,144,1338,1044,130,1596,1065,105,1065,1224,101,1338,1263,160,1592.500,1271.500
